Concept Code,Concept Name,Display Name (en),Display Name (fr),Status,Definition,Last Updated
368208006,Left upper arm structure (body structure),Left arm,bras gauche,active,Left arm,18/07/2019
368209003,Right upper arm structure (body structure),Right arm,bras droit,active,Right arm,18/07/2019
16217701000119100,Structure of left deltoid muscle (body structure),Left deltoid,deltoïde gauche,active,Left deltoid,18/07/2019
16217661000119100,Structure of right deltoid muscle (body structure),Right deltoid,deltoïde droit,active,Right deltoid,18/07/2019
66480008,Structure of left forearm (body structure),Left forearm,avant-bras gauche,active,Left forearm - Used for rabies vaccine,18/07/2019
64262003,Structure of right forearm (body structure),Right forearm,avant-bras droit,active,Right forearm - Used for rabies vaccine,18/07/2019
123851003,Mouth region structure (body structure),Mouth,bouche,active,Mouth,18/07/2019
244506005,Both anterior nares (body structure),Nares,narines,active,Nares,18/07/2019
723608007,Structure of left anterior naris (body structure),Left nares,narines droite,active,Left nares,18/07/2019
723609004,Structure of right anterior naris (body structure),Right nares,narines gauche,active,Right nares,18/07/2019
48979004,Structure of left lower leg (body structure),Left leg,jambe gauche,active,Left leg,18/07/2019
32696007,Structure of right lower leg (body structure),Right leg,jambe droite,active,Right leg,18/07/2019
23731000087106,Structure of left vastus lateralis muscle (body structure),Left vastus lateralis,muscle vaste externe gauche,active,Left vastus lateralis,18/07/2019
23741000087100,Structure of right vastus lateralis muscle (body structure),Right vastus lateralis,muscle vaste externe droit,active,Right vastus lateralis,18/07/2019
723979003,Structure of left buttock (body structure),Left buttock,fesse gauche,active,Left buttock,18/07/2019
723980000,Structure of right buttock (body structure),Right buttock,fesse droite,active,Right buttock,18/07/2019
46862004,Buttock structure (body structure),Buttock,fesse,active,Buttock,18/07/2019
416462003,Wound (disorder),Wound,blessure,active,Wound - Used for rabies IG,18/07/2019
