agentConceptId,antigenConceptId,diseaseConceptId,lastUpdated
111164008,713616004,398102009,2019-07-18
11866009,709155002,58750007,2019-07-18
125688000,8301000087103,398102009,2019-07-18
125690004,713620000,398102009,2019-07-18
125714002,714078004,16814004,2019-07-18
135642004,115578007,16814004,2019-07-18
14745005,713618003,40468003,2019-07-18
19371000087102,19341000087105,40468003,2019-07-18
19401000087100,260210008,6142004,2019-07-18
19461000087101,121080001,23511006,2019-07-18
20591000087106,8621000087102,397428000,2019-07-18
20591000087106,8631000087100,27836007,2019-07-18
20591000087106,8451000087106,76902006,2019-07-18
20591000087106,19381000087100,66071002,2019-07-18
20591000087106,120975003,406583002,2019-07-18
20601000087103,8621000087102,397428000,2019-07-18
20601000087103,8631000087100,27836007,2019-07-18
20601000087103,8451000087106,76902006,2019-07-18
20601000087103,19381000087100,66071002,2019-07-18
20641000087100,8621000087102,397428000,2019-07-18
20641000087100,8451000087106,76902006,2019-07-18
20641000087100,8601000087108,27836007,2019-07-18
20641000087100,19381000087100,66071002,2019-07-18
20641000087100,8301000087103,398102009,2019-07-18
20681000087105,21901000087102,23511006,2019-07-18
20681000087105,120975003,406583002,2019-07-18
20861000087100,20861000087100,240532009,2019-07-18
21721000087105,21721000087105,23511006,2019-07-18
21901000087102,21901000087102,23511006,2019-07-18
21921000087108,260210008,6142004,2019-07-18
23001000087100,260214004,4740000,2019-07-18
33234009,713631008,67924001,2019-07-18
333521006,409629009,409498004,2019-07-18
333598008,120985002,16814004,2019-07-18
333621002,8451000087106,76902006,2019-07-18
333680004,120975003,406583002,2019-07-18
333697005,121027000,52947006,2019-07-18
333699008,8351000087102,712986001,2019-07-18
333702001,303233001,66071002,2019-07-18
333702001,713618003,40468003,2019-07-18
333707007,8471000087100,4834000,2019-07-18
333707007,19341000087105,40468003,2019-07-18
346639000,8471000087100,4834000,2019-07-18
346696005,8461000087109,4834000,2019-07-18
34689006,303233001,66071002,2019-07-18
3526007,120980007,14168008,2019-07-18
35736007,709157005,63650001,2019-07-18
359068008,716266006,23511006,2019-07-18
386013003,120998006,36653000,2019-07-18
407737004,260214004,4740000,2019-07-18
418268006,718280005,56717001,2019-07-18
419550004,121087003,36989005,2019-07-18
419550004,120998006,36653000,2019-07-18
420261000,420261000,23511006,2019-07-18
423531006,121077002,23511006,2019-07-18
424519000,120996005,240532009,2019-07-18
428214002,396417009,397428000,2019-07-18
448964007,714078004,16814004,2019-07-18
449019003,713610005,27836007,2019-07-18
46233009,260210008,6142004,2019-07-18
56844000,713629004,16541001,2019-07-18
61153008,121087003,36989005,2019-07-18
61153008,120998006,36653000,2019-07-18
61602008,121074009,27836007,2019-07-18
6981000087108,121006005,6142004,2019-07-18
7091000087106,7091000087106,23511006,2019-07-18
7101000087101,7101000087101,23511006,2019-07-18
7121000087107,7121000087107,23511006,2019-07-18
7251000087108,115578007,16814004,2019-07-18
7261000087106,714078004,16814004,2019-07-18
7281000087100,120998006,36653000,2019-07-18
7661000087108,714078004,16814004,2019-07-18
7691000087100,260210008,6142004,2019-07-18
7701000087100,8621000087102,397428000,2019-07-18
7711000087103,716269004,23511006,2019-07-18
7721000087106,709157005,63650001,2019-07-18
7731000087108,8621000087102,397428000,2019-07-18
7731000087108,8601000087108,27836007,2019-07-18
7731000087108,19381000087100,66071002,2019-07-18
7731000087108,8301000087103,398102009,2019-07-18
7731000087108,120975003,406583002,2019-07-18
7731000087108,8451000087106,76902006,2019-07-18
7741000087102,8611000087105,397428000,2019-07-18
7751000087104,8301000087103,398102009,2019-07-18
7751000087104,8451000087106,76902006,2019-07-18
7761000087101,714076000,27836007,2019-07-18
7771000087105,8601000087108,27836007,2019-07-18
7781000087107,8591000087100,27836007,2019-07-18
7791000087109,7791000087109,240532009,2019-07-18
7801000087108,7801000087108,240532009,2019-07-18
7831000087100,8621000087102,397428000,2019-07-18
7831000087100,8631000087100,27836007,2019-07-18
7831000087100,8451000087106,76902006,2019-07-18
7851000087109,8451000087106,76902006,2019-07-18
7851000087109,8611000087105,397428000,2019-07-18
7851000087109,8591000087100,27836007,2019-07-18
7861000087107,8621000087102,397428000,2019-07-18
7861000087107,8631000087100,27836007,2019-07-18
7861000087107,8451000087106,76902006,2019-07-18
7861000087107,713616004,398102009,2019-07-18
7871000087103,8621000087102,397428000,2019-07-18
7871000087103,8631000087100,27836007,2019-07-18
7871000087103,8301000087103,398102009,2019-07-18
7871000087103,8451000087106,76902006,2019-07-18
7881000087101,8621000087102,397428000,2019-07-18
7881000087101,8601000087108,27836007,2019-07-18
7881000087101,8301000087103,398102009,2019-07-18
7881000087101,8451000087106,76902006,2019-07-18
7891000087104,8611000087105,397428000,2019-07-18
7891000087104,8591000087100,27836007,2019-07-18
7891000087104,8301000087103,398102009,2019-07-18
7891000087104,8451000087106,76902006,2019-07-18
7901000087103,8621000087102,397428000,2019-07-18
7901000087103,8301000087103,398102009,2019-07-18
7901000087103,8451000087106,76902006,2019-07-18
7921000087109,8621000087102,397428000,2019-07-18
7921000087109,8451000087106,76902006,2019-07-18
7931000087106,8621000087102,397428000,2019-07-18
7931000087106,8601000087108,27836007,2019-07-18
7931000087106,8301000087103,398102009,2019-07-18
7931000087106,120975003,406583002,2019-07-18
7931000087106,8451000087106,76902006,2019-07-18
8211000087108,8621000087102,397428000,2019-07-18
8211000087108,8631000087100,27836007,2019-07-18
8211000087108,120975003,406583002,2019-07-18
8211000087108,8451000087106,76902006,2019-07-18
8221000087100,8621000087102,397428000,2019-07-18
8221000087100,8631000087100,27836007,2019-07-18
8221000087100,120975003,406583002,2019-07-18
8221000087100,8451000087106,76902006,2019-07-18
8221000087100,713616004,398102009,2019-07-18
8231000087103,715978009,23511006,2019-07-18
8241000087109,715979001,23511006,2019-07-18
8771000087109,8731000087107,66071002,2019-07-18
8781000087106,8741000087101,66071002,2019-07-18
89428009,8361000087104,4834000,2019-07-18
90043005,121087003,36989005,2019-07-18
24371000087105,713618003,40468003,2019-07-18
24371000087105,303233001,66071002,2019-07-18
9801000087100,19451000087104,40468003,2019-07-18
9801000087100,19381000087100,66071002,2019-07-18
9811000087103,19451000087104,40468003,2019-07-18
9831000087108,19381000087100,66071002,2019-07-18
426971004,120975003,406583002,2019-07-18
426971004,19381000087100,66071002,2019-07-18
23681000087100,8621000087102,397428000,2019-07-18
23681000087100,8451000087106,76902006,2019-07-18
23681000087100,714076000,27836007,2019-07-18
23681000087100,19381000087100,66071002,2019-07-18
23701000087103,8621000087102,397428000,2019-07-18
23701000087103,8451000087106,76902006,2019-07-18
23701000087103,8601000087108,27836007,2019-07-18
23701000087103,120975003,406583002,2019-07-18
86080005,385336006,414531002,2019-07-18
21911000087100,21911000087100,414531002,2019-07-18
416653007,385336006,414531002,2019-07-18
9778000,120941004,28944009,2019-07-18
77048008,412175006,397428000,2019-07-18
9542007,418747006,66071002,2019-07-18
333711001,420084002,14189004,2019-07-18
108725001,386900007,55735004,2019-07-18
80834004,422303009,14168008,2019-07-18
108723008,386900007,55735004,2019-07-18
86337009,428527002,76902006,2019-07-18
79873000,713631008,67924001,2019-07-18
62294009,259858000,38907003,2019-07-18
409269001,260210008,6142004,2019-07-18
24371000087105,713618003,40468003,2019-07-18
24371000087105,303233001,66071002,2019-07-18
407746005,260214004,4740000,2019-07-18
7031000087105,120975003,406583002,2019-07-18
7431000087103,8451000087106,76902006,2019-07-18
7431000087103,8611000087105,397428000,2019-07-18
7431000087103,8591000087100,27836007,2019-07-18
7481000087104,8611000087105,397428000,2019-07-18
7481000087104,8591000087100,27836007,2019-07-18
7481000087104,8301000087103,398102009,2019-07-18
7481000087104,8451000087106,76902006,2019-07-18
7581000087103,260210008,6142004,2019-07-18
6851000087107,19341000087105,40468003,2019-07-18
6861000087105,19451000087104,40468003,2019-07-18
7021000087108,718280005,56717001,2019-07-18
7011000087100,718280005,56717001,2019-07-18
19311000087109,121080001,23511006,2019-07-18
7441000087109,8451000087106,76902006,2019-07-18
7441000087109,8611000087105,397428000,2019-07-18
7441000087109,8591000087100,27836007,2019-07-18
7491000087102,8611000087105,397428000,2019-07-18
7491000087102,8591000087100,27836007,2019-07-18
7491000087102,8301000087103,398102009,2019-07-18
7491000087102,8451000087106,76902006,2019-07-18
7341000087101,7791000087109,240532009,2019-07-18
7401000087106,709157005,63650001,2019-07-18
6921000087107,19381000087100,66071002,2019-07-18
6911000087104,8731000087107,66071002,2019-07-18
9851000087104,19341000087105,40468003,2019-07-18
20811000087102,260210008,6142004,2019-07-18
20741000087105,260210008,6142004,2019-07-18
20691000087107,260210008,6142004,2019-07-18
7211000087109,8351000087102,712986001,2019-07-18
7591000087101,260210008,6142004,2019-07-18
7571000087100,260210008,6142004,2019-07-18
7541000087108,260210008,6142004,2019-07-18
8651000087109,260210008,6142004,2019-07-18
7351000087103,7801000087108,240532009,2019-07-18
20871000087109,20861000087100,240532009,2019-07-18
6871000087101,19341000087105,40468003,2019-07-18
6881000087104,19451000087104,40468003,2019-07-18
7041000087104,120975003,406583002,2019-07-18
7361000087100,8301000087103,398102009,2019-07-18
7381000087106,120980007,14168008,2019-07-18
7451000087107,8621000087102,397428000,2019-07-18
7451000087107,8601000087108,27836007,2019-07-18
7451000087107,19381000087100,66071002,2019-07-18
7451000087107,8301000087103,398102009,2019-07-18
7451000087107,120975003,406583002,2019-07-18
7451000087107,8451000087106,76902006,2019-07-18
7461000087105,8621000087102,397428000,2019-07-18
7461000087105,8601000087108,27836007,2019-07-18
7461000087105,8301000087103,398102009,2019-07-18
7461000087105,8451000087106,76902006,2019-07-18
7501000087105,8621000087102,397428000,2019-07-18
7501000087105,8601000087108,27836007,2019-07-18
7501000087105,8301000087103,398102009,2019-07-18
7501000087105,120975003,406583002,2019-07-18
7501000087105,8451000087106,76902006,2019-07-18
7621000087103,260210008,6142004,2019-07-18
7611000087106,260210008,6142004,2019-07-18
7601000087109,260210008,6142004,2019-07-18
7151000087100,121027000,52947006,2019-07-18
7051000087101,120975003,406583002,2019-07-18
7161000087102,121087003,36989005,2019-07-18
7161000087102,120998006,36653000,2019-07-18
7131000087109,7121000087107,23511006,2019-07-18
7061000087103,716266006,23511006,2019-07-18
7071000087107,716266006,23511006,2019-07-18
7111000087104,7101000087101,23511006,2019-07-18
7141000087103,7121000087107,23511006,2019-07-18
7081000087109,716266006,23511006,2019-07-18
19351000087108,7121000087107,23511006,2019-07-18
20841000087101,8621000087102,397428000,2019-07-18
20841000087101,8451000087106,76902006,2019-07-18
20841000087101,8601000087108,27836007,2019-07-18
20841000087101,19381000087100,66071002,2019-07-18
20841000087101,8301000087103,398102009,2019-07-18
7521000087104,8621000087102,397428000,2019-07-18
7521000087104,8601000087108,27836007,2019-07-18
7521000087104,8301000087103,398102009,2019-07-18
7521000087104,120975003,406583002,2019-07-18
7521000087104,8451000087106,76902006,2019-07-18
7511000087107,8621000087102,397428000,2019-07-18
7511000087107,8601000087108,27836007,2019-07-18
7511000087107,8301000087103,398102009,2019-07-18
7511000087107,120975003,406583002,2019-07-18
7511000087107,8451000087106,76902006,2019-07-18
7631000087101,115578007,16814004,2019-07-18
7641000087107,115578007,16814004,2019-07-18
7681000087102,714078004,16814004,2019-07-18
7651000087105,714078004,16814004,2019-07-18
7171000087106,121087003,36989005,2019-07-18
7171000087106,120998006,36653000,2019-07-18
7181000087108,121087003,36989005,2019-07-18
7181000087108,120998006,36653000,2019-07-18
19441000087102,121087003,36989005,2019-07-18
19441000087102,120998006,36653000,2019-07-18
7471000087101,8621000087102,397428000,2019-07-18
7471000087101,8601000087108,27836007,2019-07-18
7471000087101,8301000087103,398102009,2019-07-18
7471000087101,8451000087106,76902006,2019-07-18
7391000087108,120980007,14168008,2019-07-18
6951000087100,8731000087107,66071002,2019-07-18
6941000087103,8741000087101,66071002,2019-07-18
6931000087109,19381000087100,66071002,2019-07-18
7671000087104,714078004,16814004,2019-07-18
6961000087102,19451000087104,40468003,2019-07-18
6961000087102,19381000087100,66071002,2019-07-18
6971000087106,303233001,66071002,2019-07-18
6971000087106,713618003,40468003,2019-07-18
7301000087104,8471000087100,4834000,2019-07-18
7311000087102,8471000087100,4834000,2019-07-18
6891000087102,19451000087104,40468003,2019-07-18
6901000087101,19341000087105,40468003,2019-07-18
7561000087109,260210008,6142004,2019-07-18
7331000087107,8471000087100,4834000,2019-07-18
7331000087107,19341000087105,40468003,2019-07-18
7321000087105,8461000087109,4834000,2019-07-18
19291000087108,260210008,6142004,2019-07-18
7221000087101,713629004,16541001,2019-07-18
7411000087108,260214004,4740000,2019-07-18
19321000087101,260214004,4740000,2019-07-18
21671000087103,121080001,23511006,2019-07-18
21931000087105,260210008,6142004,2019-07-18
22681000087109,260210008,6142004,2019-07-18
21771000087109,121027000,52947006,2019-07-18
22691000087106,8621000087102,397428000,2019-07-18
22691000087106,8601000087108,27836007,2019-07-18
22691000087106,8301000087103,398102009,2019-07-18
22691000087106,8451000087106,76902006,2019-07-18
21701000087104,716266006,23511006,2019-07-18
21691000087104,716266006,23511006,2019-07-18
21681000087101,7121000087107,23511006,2019-07-18
21781000087106,7121000087107,23511006,2019-07-18
22181000087103,8621000087102,397428000,2019-07-18
22181000087103,8631000087100,27836007,2019-07-18
22181000087103,8451000087106,76902006,2019-07-18
22181000087103,19381000087100,66071002,2019-07-18
22181000087103,120975003,406583002,2019-07-18
21711000087102,120980007,14168008,2019-07-18
23011000087103,260214004,4740000,2019-07-18
23031000087108,121080001,23511006,2019-07-18
9821000087106,121027000,52947006,2019-07-18
20851000087103,21901000087102,23511006,2019-07-18
20851000087103,120975003,406583002,2019-07-18
22971000087103,260210008,6142004,2019-07-18
22981000087101,260210008,6142004,2019-07-18
23711000087101,8621000087102,397428000,2019-07-18
23711000087101,8451000087106,76902006,2019-07-18
23711000087101,8601000087108,27836007,2019-07-18
23711000087101,120975003,406583002,2019-07-18
23691000087103,8621000087102,397428000,2019-07-18
23691000087103,8451000087106,76902006,2019-07-18
23691000087103,714076000,27836007,2019-07-18
23691000087103,19381000087100,66071002,2019-07-18
23721000087109,8621000087102,397428000,2019-07-18
23721000087109,8601000087108,27836007,2019-07-18
23721000087109,8301000087103,398102009,2019-07-18
23721000087109,8451000087106,76902006,2019-07-18
23771000087108,120975003,406583002,2019-07-18
23771000087108,19381000087100,66071002,2019-07-18
21891000087103,716266006,23511006,2019-07-18
24201000087108,709157005,63650001,2019-07-18
24211000087105,8461000087109,4834000,2019-07-18
19421000087106,385336006,414531002,2019-07-18
21941000087104,385336006,414531002,2019-07-18
19361000087106,385336006,414531002,2019-07-18
19331000087104,120941004,28944009,2019-07-18
19431000087108,412175006,397428000,2019-07-18
19301000087107,412175006,397428000,2019-07-18
19391000087103,420084002,14189004,2019-07-18
7941000087100,418747006,66071002,2019-07-18
7951000087102,418747006,66071002,2019-07-18
7961000087104,422303009,14168008,2019-07-18
7981000087105,428527002,76902006,2019-07-18
19471000087105,420084002,14189004,2019-07-18
7971000087108,422303009,14168008,2019-07-18
19411000087103,386900007,55735004,2019-07-18
