conceptId,fsn,displayTermEn,displayTermFr,status,definition,lastUpdated
368208006,Left upper arm structure (body structure),Left arm,bras gauche,active,Left arm,2019-07-18
368209003,Right upper arm structure (body structure),Right arm,bras droit,active,Right arm,2019-07-18
16217701000119102,Structure of left deltoid muscle (body structure),Left deltoid,deltoïde gauche,active,Left deltoid,2019-07-18
16217661000119109,Structure of right deltoid muscle (body structure),Right deltoid,deltoïde droit,active,Right deltoid,2019-07-18
66480008,Structure of left forearm (body structure),Left forearm,avant-bras gauche,active,Left forearm - Used for rabies vaccine,2019-07-18
64262003,Structure of right forearm (body structure),Right forearm,avant-bras droit,active,Right forearm - Used for rabies vaccine,2019-07-18
123851003,Mouth region structure (body structure),Mouth,bouche,active,Mouth,2019-07-18
244506005,Both anterior nares (body structure),Nares,narines,active,Nares,2019-07-18
723608007,Structure of left anterior naris (body structure),Left nares,narines droite,active,Left nares,2019-07-18
723609004,Structure of right anterior naris (body structure),Right nares,narines gauche,active,Right nares,2019-07-18
48979004,Structure of left lower leg (body structure),Left leg,jambe gauche,active,Left leg,2019-07-18
32696007,Structure of right lower leg (body structure),Right leg,jambe droite,active,Right leg,2019-07-18
23731000087106,Structure of left vastus lateralis muscle (body structure),Left vastus lateralis,muscle vaste externe gauche,active,Left vastus lateralis,2019-07-18
23741000087100,Structure of right vastus lateralis muscle (body structure),Right vastus lateralis,muscle vaste externe droit,active,Right vastus lateralis,2019-07-18
723979003,Structure of left buttock (body structure),Left buttock,fesse gauche,active,Left buttock,2019-07-18
723980000,Structure of right buttock (body structure),Right buttock,fesse droite,active,Right buttock,2019-07-18
46862004,Buttock structure (body structure),Buttock,fesse,active,Buttock,2019-07-18
416462003,Wound (disorder),Wound,blessure,active,Wound - Used for rabies IG,2019-07-18
