conceptId,fsn,displayTermEn,displayTermFr,status,lastUpdated
55735004,Respiratory syncytial virus infection (disorder),Respiratory syncytial virus infection,virus respiratoire syncytial,active,2019-07-18
398102009,Acute poliomyelitis (disorder),Poliomyelitis,poliomyélite,active,2019-07-18
409498004,Anthrax (disorder),Anthrax,maladie du charbon,active,2019-07-18
63650001,Cholera (disorder),Cholera,choléra,active,2019-07-18
28944009,Cytomegalovirus infection (disorder),Cytomegalovirus disease,infection à cytomégalovirus,active,2019-07-18
397428000,Diphtheria (disorder),Diphtheria,diphtérie,active,2019-07-18
18624000,Disease caused by Rotavirus (disorder),Rotavirus infection,Infection à rotavirus,active,2019-07-18
712986001,Encephalitis caused by tick-borne encephalitis virus (disorder),Tickborne encephalitis,encéphalite à tiques,active,2019-07-18
186150001,Enteritis caused by rotavirus (disorder),Rotavirus enteritis,gastro-entérite à rotavirus,inactive,2019-07-18
398523009,Foodborne botulism (disorder),Foodborne botulism,botulisme d'origine alimentaire,inactive,2019-07-18
4740000,Herpes zoster (disorder),Shingles,zona,active,2019-07-18
240532009,Human papillomavirus infection (disorder),Human papilloma virus infection,infection par le virus du papillome humain,active,2019-07-18
6142004,Influenza (disorder),Influenza,influenza,active,2019-07-18
414531002,Intoxication with Clostridium botulinum toxin (disorder),Intoxication with Clostridium botulinum toxin,botulisme,active,2019-07-18
406583002,Invasive hemophilus influenzae disease (disorder),"Haemophilus influenzae infection, invasive",infection invasive à Haemophilus influenzae,active,2019-07-18
52947006,Japanese encephalitis virus disease (disorder),"Encephalitis, Japanese",encéphalite japonaise,active,2019-07-18
23502006,Lyme disease (disorder),Lyme disease,maladie de Lyme,active,2019-07-18
14189004,Measles (disorder),Measles,rougeole,active,2019-07-18
23511006,Meningococcal infectious disease (disorder),Meningococcal disease,maladie infectieuse à méningocoques,active,2019-07-18
36989005,Mumps (disorder),Mumps,oreillons,active,2019-07-18
27836007,Pertussis (disorder),Pertussis,coqueluche,active,2019-07-18
58750007,Plague (disorder),Plague,peste,active,2019-07-18
16814004,Pneumococcal infectious disease (disorder),Pneumococcal disease,infection pneumococcique,active,2019-07-18
14168008,Rabies (disorder),Rabies,rage,active,2019-07-18
36653000,Rubella (disorder),Rubella,rubéole,active,2019-07-18
67924001,Smallpox (disorder),Smallpox,variole,active,2019-07-18
76902006,Tetanus (disorder),Tetanus,tétanos,active,2019-07-18
11840006,Traveler's diarrhea (disorder),Traveler's diarrhea,diarrhée du voyageur,active,2019-07-18
56717001,Tuberculosis (disorder),Tuberculosis,tuberculose,active,2019-07-18
4834000,Typhoid fever (disorder),Typhoid fever,fièvre typhoïde,active,2019-07-18
38907003,Varicella (disorder),Varicella,varicelle,active,2019-07-18
66071002,Viral hepatitis type B (disorder),Hepatitis B,hépatite B,active,2019-07-18
40468003,"Viral hepatitis, type A (disorder)",Hepatitis A,hépatite A,active,2019-07-18
16541001,Yellow fever (disorder),Yellow fever,fièvre jaune,active,2019-07-18
8761000087100,Tick-borne encephalitis (disorder),Tickborne encephalitis,Encéphalite à tiques,inactive,2019-07-18
