conceptId,fsn,displayTermEn,displayTermFr,publicPicklistTermEn,publicPicklistTermFr,picklistTermEn,picklistTermFr,abbreviationEn,abbreviationFr,genericParentConceptId,din,marketAuthorizationHolder,shelfStatus,typicalDoseSize,typicalDoseSizeUOM,strength,route,passive,lastUpdated
19361000087106,Botulism Antitoxin Behring solution for infusion Novartis Vaccines and Diagnostics (product),BAtx Botulism Antitoxin Behring NVD,AtxB Botulism Antitoxin Behring NVD,Botulism Antitoxin Behring®,Botulism Antitoxin Behring®,Botulism Antitoxin Behring® (BAtx),Botulism Antitoxin Behring®(AtxB),BAtx,AtxB,86080005,N/A,Novartis Vaccine and Diagnostics,Special Access,See Product Monogragh,ml,See Product Monograph,Intravenous: IV,TRUE,2019-11-07
21941000087104,"BAT [Botulism Antitoxin Heptavalent (A, B, C, D, E, F, G) - (Equine)] solution for injection Cangene Corporation (product)",BAtx BAT Cang,AtxB BAT Cang,BAT®,BAT®,BAT® (BAtx),BAT® (AtxB),BAtx,AtxB,86080005,N/A,Cangene Corporation,Special Access,See Product Monogragh,ml,See Product Monograph,Intravenous: IV,TRUE,2019-11-07
23751000087102,"BAT [Botulism Antitoxin Heptavalent (A, B, C, D, E, F, G) - (Equine)] solution for injection Emergent BioSolutions Canada Inc. (product)",BAtx BAT EBS,AtxB BAT EBS,BAT®,BAT®,BAT® (BAtx),BAT® (AtxB),BAtx,AtxB,86080005,N/A,Emergent BioSolutions Canada Inc.,Special Access,See Product Monogragh,ml,See Product Monograph,Intravenous: IV,TRUE,2019-11-07
7021000087108,BCG Freeze-dried Glutamate BCG Vaccine (Japan) 0.5 microgram per milliliter powder and diluent for suspension for injection Japan BCG Laboratory (product),BCG Freeze-dried Glutamate BCG Vaccine Japan JBCG,BCG lyophilisé avec glutamate Japan JBCG,Freeze-dried Glutamate BCG Vaccine Japan,Freeze-dried Glutamate BCG Vaccine Japan,Freeze-dried Glutamate BCG Vaccine Japan (BCG),Freeze-dried Glutamate BCG Vaccine Japan (BCG),BCG,BCG,418268006,N/A,Japan BCG Laboratory,Cancelled,0.1,ml,0.5mg/ampoule,Intradermal: ID,FALSE,2019-11-07
7011000087100,BCG Vaccine 1.5 microgram per 0.1 milliliter powder and diluent for suspension for injection Sanofi Pasteur Limited (product),BCG Vaccine SP,BCG vaccin BCG SP,BCG Vaccine,BCG Vaccine,BCG Vaccine (BCG),BCG Vaccine (BCG),BCG,BCG,418268006,00075124,Sanofi Pasteur Ltd.,Cancelled,0.1,ml,See Product Monograph,Intradermal: ID,FALSE,2019-11-07
19421000087106,BabyBIG [Botulism Immune Globulin Intravenous (Human) (BIG-IV)] 50 milligrams per milliliter powder for solution for infusion California Department of Public Health (product),BIG-IV BabyBIG CDPH,BIG-IV BabyBIG CDPH,BabyBIG®,BabyBIG®,BabyBIG® (BIG-IV),BabyBIG® (BIG-IV),BIG-IV,BIG-IV,416653007,N/A,California Department of Public Health,Special Access,See Product Monogragh,ml,See Product Monograph,Intravenous: IV,TRUE,2019-11-07
19331000087104,Cytogam 50 milligrams per milliliter solution for infusion CSL Behring AG (product),CMVIg Cytogam CSL,CMVIg Cytogam CSL,Cytogam®,Cytogam®,Cytogam® (CMVIg),Cytogam® (CMVIg),CMVIg,CMVIg,9778000,02231962,CSL Behring AG,Marketed,See Product Monogragh,ml,See Product Monograph,Intravenous: IV,TRUE,2019-11-07
24201000087108,DUKORAL oral suspension Valneva Sweden AB (product),Chol-Ecol-O DUKORAL VAL,Chol-Ecol-O DUKORAL VAL,Dukoral®,Dukoral®,Dukoral® (Chol-Ecol-O),Dukoral® (Chol-Ecol-O),Chol-Ecol-O,Chol-Ecol-O,7721000087106,N/A,Valneva Sweden AB,Marketed,1,ml,See Product Monograph,Oral: PO,FALSE,2019-11-07
7401000087106,DUKORAL oral suspension Crucell Sweden AB (product),Chol-Ecol-O DUKORAL CSA,Chol-Ecol-O DUKORAL CSA,Dukoral®,Dukoral®,Dukoral® (Chol-Ecol-O),Dukoral® (Chol-Ecol-O),Chol-Ecol-O,Chol-Ecol-O,7721000087106,02247208,Crucell Sweden AB,Marketed,1,vial,See Product Monograph,Oral: PO,FALSE,2019-11-07
19431000087108,Diphtheria antitoxin (equine) 170 milligrams per milliliter solution for injection Institute of Immunology Inc. (product),DAtx Diphtheria antitoxin IOI,AtxD Diphtheria antitoxin IOI,Diphtheria antitoxin®,Diphtheria antitoxin®,Diphtheria antitoxin® (Datx),Diphtheria antitoxin® (AtxD),DAtx,AtxD,77048008,00454591,Institute of Immunology Inc.,Cancelled,See Product Monogragh,ml,See Product Monograph,Intravenous: IV/Intramuscular: IM,TRUE,2019-11-07
